Vitamins,Cod liver oil,IVIG,Fluids,floravit iron,Ambien CR,Soluble Aspirin,pur-absorb iron,Vitamin D3,Prednisone,Zantac,Buspirone,DLPA,Psyllium husk,Vitamin b complex,Aloe Detox Water,Excedrin,Physiotherapy,Magnesium,Panamax,THC,Turmeric,Allegra,Fish oil,Rest,Post-op ice device,Standing desk,Valdoxan,Language Learning,ASMR,Coffee,Strattera,Medical Marijuana,Zofran,Hydroxyzine,meds,SPD alternative treatments,Pet Therapy,Astelin,breathing exercises,Vitamin B,Vitamin B complex - 50,linseed,Melatonin,Vitamin C,Klonopin,Medication,CBD,Voltaren,Vitamin b12,Tian Ma Tou Tong - headache,Ice pack,massage,Norco,physical therapy,Vyvanse,Eyebright Complex,Extra Medications,Creatine,Therapy,Weather- rain,Valium,Ligament Restore,Zoladex,Multivitamin,Mirtazapine,Pain management,stool softener,Zinc,Ibuprofen,Meditation,TENS Unit,Alcohol,Migraine Diet,Sunlight,Magnesium glycinate,5-htp,Nasonex,Ecural,Vitamin a,eye ointment,Daily walk,Exercise--walking,Famotidine,strapping of shoulder,Ventolin,Vitamin d,Codeine,Claritin,Progesterone,Spironolactone,Essential oils,heating pads,Iron,Ondansetron,Pataday,Singulair,Wei Te Ling - heartburn,row
,,,,0.0,,2.0,0.0,,,,,0.0,,,,,0.0,0.0,2.0,,,,,,,0.0,0.0,,,,,,0.0,,,,,,,0.0,0.0,2.0,,,,,,2.0,,0.0,,,,,2.0,2.0,,0.0,,,0.0,,2.0,0.0,0.0,0.0,,,0.0,,,,0.0,,,,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,,0.0,Buspirone
,,,,0.0,,2.0,0.0,,,,0.0,,,,,,0.0,0.0,2.0,,,,,,,0.0,0.0,,,,,,0.0,,,,,,,0.0,0.0,2.0,,,,,,2.0,,0.0,,,,,2.0,2.0,,0.0,,,0.0,,2.0,0.0,0.0,0.0,,,0.0,,,,0.0,,,,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,,0.0,DLPA
,0.0,0.0,,,,,,0.0,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Psyllium husk
,,,,,2.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,2.0,0.0,,,,,,0.0,,2.0,2.0,2.0,,,0.0,,,,,0.0,0.0,2.0,,2.0,,0.0,,2.0,,2.0,2.0,,,,,,,,,,,,,2.0,0.0,,,,2.0,,2.0,0.0,0.0,0.0,,,2.0,,,0.0,2.0,,0.0,,0.0,,,,2.0,,,,0.0,,Vitamin b complex
0.0,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,2.0,2.0,0.0,,0.0,,,,2.0,0.0,,0.0,,,,,,,2.0,,,,,,2.0,,,,,0.0,,0.0,0.0,,,,,,,,,,0.0,0.0,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,,,,,,,Aloe Detox Water
,0.0,0.0,,,,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Excedrin
,,,,0.0,,2.0,0.0,,,,0.0,0.0,,,,,,0.0,2.0,,,,,,,0.0,0.0,,,,,,0.0,,,,,,,0.0,0.0,2.0,,,,,,2.0,,0.0,,,,,2.0,2.0,,0.0,,,0.0,,2.0,0.0,0.0,0.0,,,0.0,,,,0.0,,,,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,,0.0,Physiotherapy
,,,,0.0,,2.0,0.0,,,,0.0,0.0,,,,,0.0,,2.0,,,,,,,0.0,0.0,,,,,,0.0,,,,,,,0.0,0.0,2.0,,,,,,2.0,,0.0,,,,,2.0,2.0,,0.0,,,0.0,,2.0,0.0,0.0,0.0,,,0.0,,,,0.0,,,,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,,0.0,Magnesium
,,,,2.0,,0.0,2.0,,,,2.0,2.0,,,,,2.0,2.0,,,,,,,,2.0,2.0,,,,,,2.0,,,,,,,2.0,2.0,0.0,,,,,,0.0,,2.0,,,,,0.0,0.0,,2.0,,,2.0,,0.0,2.0,2.0,2.0,,,2.0,,,,2.0,,,,2.0,2.0,2.0,,,,,,2.0,2.0,2.0,,2.0,2.0,,,2.0,2.0,2.0,,2.0,Panamax
,,,,,2.0,,,,,,,,,0.0,,,,,,,,0.0,0.0,2.0,0.0,,,,,,0.0,,2.0,2.0,2.0,,,0.0,,,,,0.0,0.0,2.0,,2.0,,0.0,,2.0,,2.0,2.0,,,,,,,,,,,,,2.0,0.0,,,,2.0,,2.0,0.0,0.0,0.0,,,2.0,,,0.0,2.0,,0.0,,0.0,,,,2.0,,,,0.0,,THC
0.0,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,2.0,2.0,0.0,,0.0,,,,2.0,0.0,,0.0,,,,,,,2.0,,,,,,2.0,,,,,0.0,,0.0,0.0,,,,,,,,,,0.0,0.0,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,,,,,,,Turmeric
,,,,,2.0,,,,,,,,,0.0,,,,,,0.0,,,0.0,2.0,0.0,,,,,,0.0,,2.0,2.0,2.0,,,0.0,,,,,0.0,0.0,2.0,,2.0,,0.0,,2.0,,2.0,2.0,,,,,,,,,,,,,2.0,0.0,,,,2.0,,2.0,0.0,0.0,0.0,,,2.0,,,0.0,2.0,,0.0,,0.0,,,,2.0,,,,0.0,,Allegra
,,,,,2.0,,,,,,,,,0.0,,,,,,0.0,,0.0,,2.0,0.0,,,,,,0.0,,2.0,2.0,2.0,,,0.0,,,,,0.0,0.0,2.0,,2.0,,0.0,,2.0,,2.0,2.0,,,,,,,,,,,,,2.0,0.0,,,,2.0,,2.0,0.0,0.0,0.0,,,2.0,,,0.0,2.0,,0.0,,0.0,,,,2.0,,,,0.0,,Fish oil
,,,,,0.0,,,,,,,,,2.0,,,,,,2.0,,2.0,2.0,,2.0,,,,,,2.0,,0.0,0.0,0.0,,,2.0,,,,,2.0,2.0,0.0,,0.0,,2.0,,0.0,,0.0,0.0,,,,,,,,,,,,,0.0,2.0,,,,0.0,,0.0,2.0,2.0,2.0,,,0.0,,,2.0,0.0,,2.0,,2.0,,,,0.0,,,,2.0,,Rest
,,,,,2.0,,,,,,,,,0.0,,,,,,0.0,,0.0,0.0,2.0,,,,,,,0.0,,2.0,2.0,2.0,,,0.0,,,,,0.0,0.0,2.0,,2.0,,0.0,,2.0,,2.0,2.0,,,,,,,,,,,,,2.0,0.0,,,,2.0,,2.0,0.0,0.0,0.0,,,2.0,,,0.0,2.0,,0.0,,0.0,,,,2.0,,,,0.0,,Post-op ice device
,,,,0.0,,2.0,0.0,,,,0.0,0.0,,,,,0.0,0.0,2.0,,,,,,,,0.0,,,,,,0.0,,,,,,,0.0,0.0,2.0,,,,,,2.0,,0.0,,,,,2.0,2.0,,0.0,,,0.0,,2.0,0.0,0.0,0.0,,,0.0,,,,0.0,,,,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,,0.0,Standing desk
,,,,0.0,,2.0,0.0,,,,0.0,0.0,,,,,0.0,0.0,2.0,,,,,,,0.0,,,,,,,0.0,,,,,,,0.0,0.0,2.0,,,,,,2.0,,0.0,,,,,2.0,2.0,,0.0,,,0.0,,2.0,0.0,0.0,0.0,,,0.0,,,,0.0,,,,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,,0.0,Valdoxan
2.0,,,2.0,,,,,,,,,,,,2.0,,,,,,2.0,,,,,,,,0.0,2.0,,2.0,,,,0.0,2.0,,2.0,,,,,,,0.0,,,,,,0.0,,,,,2.0,,2.0,2.0,,,,,,,,,,2.0,2.0,,,,,,,,,,2.0,2.0,,,,,,,,,2.0,,,,,,,Language Learning
2.0,,,2.0,,,,,,,,,,,,2.0,,,,,,2.0,,,,,,,0.0,,2.0,,2.0,,,,0.0,2.0,,2.0,,,,,,,0.0,,,,,,0.0,,,,,2.0,,2.0,2.0,,,,,,,,,,2.0,2.0,,,,,,,,,,2.0,2.0,,,,,,,,,2.0,,,,,,,ASMR
0.0,,,0.0,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,2.0,2.0,,,0.0,,,,2.0,0.0,,0.0,,,,,,,2.0,,,,,,2.0,,,,,0.0,,0.0,0.0,,,,,,,,,,0.0,0.0,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,,,,,,,Coffee
,,,,,2.0,,,,,,,,,0.0,,,,,,0.0,,0.0,0.0,2.0,0.0,,,,,,,,2.0,2.0,2.0,,,0.0,,,,,0.0,0.0,2.0,,2.0,,0.0,,2.0,,2.0,2.0,,,,,,,,,,,,,2.0,0.0,,,,2.0,,2.0,0.0,0.0,0.0,,,2.0,,,0.0,2.0,,0.0,,0.0,,,,2.0,,,,0.0,,Strattera
0.0,,,0.0,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,2.0,2.0,0.0,,,,,,2.0,0.0,,0.0,,,,,,,2.0,,,,,,2.0,,,,,0.0,,0.0,0.0,,,,,,,,,,0.0,0.0,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,,,,,,,Medical Marijuana
,,,,0.0,0.0,2.0,0.0,,,,0.0,0.0,,2.0,,,0.0,0.0,2.0,2.0,,2.0,2.0,0.0,2.0,0.0,0.0,,,,2.0,,,0.0,0.0,,,2.0,,0.0,0.0,2.0,2.0,2.0,0.0,,0.0,2.0,2.0,0.0,0.0,,0.0,0.0,2.0,2.0,,0.0,,,0.0,,2.0,0.0,0.0,0.0,0.0,2.0,0.0,,,0.0,0.0,0.0,2.0,2.0,0.733762640401,0.0,0.0,0.0,,,2.0,0.0,0.0,1.13553801481,0.0,2.0,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,0.0,Zofran
,,,,,0.0,,,,,,,,,2.0,,,,,,2.0,,2.0,2.0,0.0,2.0,,,,,,2.0,,0.0,,0.0,,,2.0,,,,,2.0,2.0,0.0,,0.0,,2.0,,0.0,,0.0,0.0,,,,,,,,,,,,,0.0,2.0,,,,0.0,,0.0,2.0,2.0,2.0,,,0.0,,,2.0,0.0,,2.0,,2.0,,,,0.0,,,,2.0,,Hydroxyzine
,,,,,0.0,,,,,,,,,2.0,,,,,,2.0,,2.0,2.0,0.0,2.0,,,,,,2.0,,0.0,0.0,,,,2.0,,,,,2.0,2.0,0.0,,0.0,,2.0,,0.0,,0.0,0.0,,,,,,,,,,,,,0.0,2.0,,,,0.0,,0.0,2.0,2.0,2.0,,,0.0,,,2.0,0.0,,2.0,,2.0,,,,0.0,,,,2.0,,meds
2.0,,,2.0,,,,,,,,,,,,2.0,,,,,,2.0,,,,,,,0.0,0.0,2.0,,2.0,,,,,2.0,,2.0,,,,,,,0.0,,,,,,0.0,,,,,2.0,,2.0,2.0,,,,,,,,,,2.0,2.0,,,,,,,,,,2.0,2.0,,,,,,,,,2.0,,,,,,,SPD alternative treatments
0.0,,,0.0,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,2.0,2.0,0.0,,0.0,,,,2.0,,,0.0,,,,,,,2.0,,,,,,2.0,,,,,0.0,,0.0,0.0,,,,,,,,,,0.0,0.0,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,,,,,,,Pet Therapy
,,,,,2.0,,,,,,,,,0.0,,,,,,0.0,,0.0,0.0,2.0,0.0,,,,,,0.0,,2.0,2.0,2.0,,,,,,,,0.0,0.0,2.0,,2.0,,0.0,,2.0,,2.0,2.0,,,,,,,,,,,,,2.0,0.0,,,,2.0,,2.0,0.0,0.0,0.0,,,2.0,,,0.0,2.0,,0.0,,0.0,,,,2.0,,,,0.0,,Astelin
0.0,,,0.0,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,2.0,2.0,0.0,,0.0,,,,2.0,0.0,,,,,,,,,2.0,,,,,,2.0,,,,,0.0,,0.0,0.0,,,,,,,,,,0.0,0.0,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,,,,,,,breathing exercises
,,,,0.0,,2.0,0.0,,,,0.0,0.0,,,,,0.0,0.0,2.0,,,,,,,0.0,0.0,,,,,,0.0,,,,,,,,0.0,2.0,,,,,,2.0,,0.0,,,,,2.0,2.0,,0.0,,,0.0,,2.0,0.0,0.0,0.0,,,0.0,,,,0.0,,,,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,,0.0,Vitamin B
,,,,0.0,,2.0,0.0,,,,0.0,0.0,,,,,0.0,0.0,2.0,,,,,,,0.0,0.0,,,,,,0.0,,,,,,,0.0,,2.0,,,,,,2.0,,0.0,,,,,2.0,2.0,,0.0,,,0.0,,2.0,0.0,0.0,0.0,,,0.0,,,,0.0,,,,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,,0.0,Vitamin B complex - 50
,,,,2.0,,0.0,2.0,,,,2.0,2.0,,,,,2.0,2.0,0.0,,,,,,,2.0,2.0,,,,,,2.0,,,,,,,2.0,2.0,,,,,,,0.0,,2.0,,,,,0.0,0.0,,2.0,,,2.0,,0.0,2.0,2.0,2.0,,,2.0,,,,2.0,,,,2.0,2.0,2.0,,,,,,2.0,2.0,2.0,,2.0,2.0,,,2.0,2.0,2.0,,2.0,linseed
,,,,,2.0,,,,,,,,,0.0,,,,,,0.0,,0.0,0.0,2.0,0.0,,,,,,0.0,,2.0,2.0,2.0,,,0.0,,,,,,0.0,2.0,,2.0,,0.0,,2.0,,2.0,2.0,,,,,,,,,,,,,2.0,0.0,,,,2.0,,2.0,0.0,0.0,0.0,,,2.0,,,0.0,2.0,,0.0,,0.0,,,,2.0,,,,0.0,,Melatonin
,,,,,2.0,,,,,,,,,0.0,,,,,,0.0,,0.0,0.0,2.0,0.0,,,,,,0.0,,2.0,2.0,2.0,,,0.0,,,,,0.0,,2.0,,2.0,,0.0,,2.0,,2.0,2.0,,,,,,,,,,,,,2.0,0.0,,,,2.0,,2.0,0.0,0.0,0.0,,,2.0,,,0.0,2.0,,0.0,,0.0,,,,2.0,,,,0.0,,Vitamin C
,,,,,0.0,,,,,,,,,2.0,,,,,,2.0,,2.0,2.0,0.0,2.0,,,,,,2.0,,0.0,0.0,0.0,,,2.0,,,,,2.0,2.0,,,0.0,,2.0,,0.0,,0.0,0.0,,,,,,,,,,,,,0.0,2.0,,,,0.0,,0.0,2.0,2.0,2.0,,,0.0,,,2.0,0.0,,2.0,,2.0,,,,0.0,,,,2.0,,Klonopin
2.0,,,2.0,,,,,,,,,,,,2.0,,,,,,2.0,,,,,,,0.0,0.0,2.0,,2.0,,,,0.0,2.0,,2.0,,,,,,,,,,,,,0.0,,,,,2.0,,2.0,2.0,,,,,,,,,,2.0,2.0,,,,,,,,,,2.0,2.0,,,,,,,,,2.0,,,,,,,Medication
,,,,,0.0,,,,,,,,,2.0,,,,,,2.0,,2.0,2.0,0.0,2.0,,,,,,2.0,,0.0,0.0,0.0,,,2.0,,,,,2.0,2.0,0.0,,,,2.0,,0.0,,0.0,0.0,,,,,,,,,,,,,0.0,2.0,,,,0.0,,0.0,2.0,2.0,2.0,,,0.0,,,2.0,0.0,,2.0,,2.0,,,,0.0,,,,2.0,,CBD
,,,,2.0,,0.0,2.0,,,,2.0,2.0,,,,,2.0,2.0,0.0,,,,,,,2.0,2.0,,,,,,2.0,,,,,,,2.0,2.0,0.0,,,,,,,,2.0,,,,,0.0,0.0,,2.0,,,2.0,,0.0,2.0,2.0,2.0,,,2.0,,,,2.0,,,,2.0,2.0,2.0,,,,,,2.0,2.0,2.0,,2.0,2.0,,,2.0,2.0,2.0,,2.0,Voltaren
,,,,,2.0,,,,,,,,,0.0,,,,,,0.0,,0.0,0.0,2.0,0.0,,,,,,0.0,,2.0,2.0,2.0,,,0.0,,,,,0.0,0.0,2.0,,2.0,,,,2.0,,2.0,2.0,,,,,,,,,,,,,2.0,0.0,,,,2.0,,2.0,0.0,0.0,0.0,,,2.0,,,0.0,2.0,,0.0,,0.0,,,,2.0,,,,0.0,,Vitamin b12
,,,,0.0,,2.0,0.0,,,,0.0,0.0,,,,,0.0,0.0,2.0,,,,,,,0.0,0.0,,,,,,0.0,,,,,,,0.0,0.0,2.0,,,,,,2.0,,,,,,,2.0,2.0,,0.0,,,0.0,,2.0,0.0,0.0,0.0,,,0.0,,,,0.0,,,,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,,0.0,Tian Ma Tou Tong - headache
,,,,,0.0,,,,,,,,,2.0,,,,,,2.0,,2.0,2.0,0.0,2.0,,,,,,2.0,,0.0,0.0,0.0,,,2.0,,,,,2.0,2.0,0.0,,0.0,,2.0,,,,0.0,0.0,,,,,,,,,,,,,0.0,2.0,,,,0.0,,0.0,2.0,2.0,2.0,,,0.0,,,2.0,0.0,,2.0,,2.0,,,,0.0,,,,2.0,,Ice pack
2.0,,,2.0,,,,,,,,,,,,2.0,,,,,,2.0,,,,,,,0.0,0.0,2.0,,2.0,,,,0.0,2.0,,2.0,,,,,,,0.0,,,,,,,,,,,2.0,,2.0,2.0,,,,,,,,,,2.0,2.0,,,,,,,,,,2.0,2.0,,,,,,,,,2.0,,,,,,,massage
,,,,,0.0,,,,,,,,,2.0,,,,,,2.0,,2.0,2.0,0.0,2.0,,,,,,2.0,,0.0,0.0,0.0,,,2.0,,,,,2.0,2.0,0.0,,0.0,,2.0,,0.0,,,0.0,,,,,,,,,,,,,0.0,2.0,,,,0.0,,0.0,2.0,2.0,2.0,,,0.0,,,2.0,0.0,,2.0,,2.0,,,,0.0,,,,2.0,,Norco
,,,,,0.0,,,,,,,,,2.0,,,,,,2.0,,2.0,2.0,0.0,2.0,,,,,,2.0,,0.0,0.0,0.0,,,2.0,,,,,2.0,2.0,0.0,,0.0,,2.0,,0.0,,0.0,,,,,,,,,,,,,,0.0,2.0,,,,0.0,,0.0,2.0,2.0,2.0,,,0.0,,,2.0,0.0,,2.0,,2.0,,,,0.0,,,,2.0,,physical therapy
,,,,2.0,,0.0,2.0,,,,2.0,2.0,,,,,2.0,2.0,0.0,,,,,,,2.0,2.0,,,,,,2.0,,,,,,,2.0,2.0,0.0,,,,,,0.0,,2.0,,,,,,0.0,,2.0,,,2.0,,0.0,2.0,2.0,2.0,,,2.0,,,,2.0,,,,2.0,2.0,2.0,,,,,,2.0,2.0,2.0,,2.0,2.0,,,2.0,2.0,2.0,,2.0,Vyvanse
,,,,2.0,,0.0,2.0,,,,2.0,2.0,,,,,2.0,2.0,0.0,,,,,,,2.0,2.0,,,,,,2.0,,,,,,,2.0,2.0,0.0,,,,,,0.0,,2.0,,,,,0.0,,,2.0,,,2.0,,0.0,2.0,2.0,2.0,,,2.0,,,,2.0,,,,2.0,2.0,2.0,,,,,,2.0,2.0,2.0,,2.0,2.0,,,2.0,2.0,2.0,,2.0,Eyebright Complex
0.0,,,0.0,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,2.0,2.0,0.0,,0.0,,,,2.0,0.0,,0.0,,,,,,,2.0,,,,,,2.0,,,,,,,0.0,0.0,,,,,,,,,,0.0,0.0,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,,,,,,,Extra Medications
,,,,0.0,,2.0,0.0,,,,0.0,0.0,,,,,0.0,0.0,2.0,,,,,,,0.0,0.0,,,,,,0.0,,,,,,,0.0,0.0,2.0,,,,,,2.0,,0.0,,,,,2.0,2.0,,,,,0.0,,2.0,0.0,0.0,0.0,,,0.0,,,,0.0,,,,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,,0.0,Creatine
0.0,,,0.0,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,2.0,2.0,0.0,,0.0,,,,2.0,0.0,,0.0,,,,,,,2.0,,,,,,2.0,,,,,0.0,,,0.0,,,,,,,,,,0.0,0.0,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,,,,,,,Therapy
0.0,,,0.0,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,2.0,2.0,0.0,,0.0,,,,2.0,0.0,,0.0,,,,,,,2.0,,,,,,2.0,,,,,0.0,,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,,,,,,,Weather- rain
,,,,0.0,,2.0,0.0,,,,0.0,0.0,,,,,0.0,0.0,2.0,,,,,,,0.0,0.0,,,,,,0.0,,,,,,,0.0,0.0,2.0,,,,,,2.0,,0.0,,,,,2.0,2.0,,0.0,,,,,2.0,0.0,0.0,0.0,,,0.0,,,,0.0,,,,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,,0.0,Valium
,0.0,0.0,,,,,,0.0,,0.0,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ligament Restore
,,,,2.0,,0.0,2.0,,,,2.0,2.0,,,,,2.0,2.0,0.0,,,,,,,2.0,2.0,,,,,,2.0,,,,,,,2.0,2.0,0.0,,,,,,0.0,,2.0,,,,,0.0,0.0,,2.0,,,2.0,,,2.0,2.0,2.0,,,2.0,,,,2.0,,,,2.0,2.0,2.0,,,,,,2.0,2.0,2.0,,2.0,2.0,,,2.0,2.0,2.0,,2.0,Zoladex
,,,,0.0,,2.0,0.0,,,,0.0,0.0,,,,,0.0,0.0,2.0,,,,,,,0.0,0.0,,,,,,0.0,,,,,,,0.0,0.0,2.0,,,,,,2.0,,0.0,,,,,2.0,2.0,,0.0,,,0.0,,2.0,,0.0,0.0,,,0.0,,,,0.0,,,,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,,0.0,Multivitamin
,,,,0.0,,2.0,0.0,,,,0.0,0.0,,,,,0.0,0.0,2.0,,,,,,,0.0,0.0,,,,,,0.0,,,,,,,0.0,0.0,2.0,,,,,,2.0,,0.0,,,,,2.0,2.0,,0.0,,,0.0,,2.0,0.0,,0.0,,,0.0,,,,0.0,,,,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,,0.0,Mirtazapine
