Snacks,Dicyclomine,Home physio exercises,Phyical Therapy - stretches,Prilosec,Caffeine,Sunlight,Synthroid,Aromatherapy,Tretinoin,Imodium,aqua therapy,Acupuncture,birth control,Magnesium glycinate,Metformin,Veggies,5-htp,Nasonex,Claritin,tumeric extract,Strattera,Relaxing,Low oxalate,Citalopram,Clinda-derm,Allergy Shots,Snooze,gluten free,excedrin migraine,Physio,Topiramate,Achy breaky rub,Pantoprazole,ponstan,Famotidine,DEHA,Vitamin b complex,Trigger Points,Paracatamol with codeine,Enada,Methylcobalamine,Ranitidine,Zomig,therapy session,Tylenol 3,Astelin,Progesterone,Vitamin C,Vitamin B,Migraine herb feverfew tablets,Magnesium,Tranexamic acid,Tavegyl,THC,Prednisone,Allegra,Klonopin,Medication,Fexofenadine,Goth clubbing,Singulair,Fish oil,Osteopathy,psychologist,rebounding,CoQ10,Montelukast,Vitamin b12,Cannabis,Post-op ice device,Zinc,Vitamin d,Methotrexate,Melatonin,Corticosteroids,LUSH acne spot-treatment,massage,Multi-vitamin
,,,,,,2.0,0.0,,,,,0.0,0.0,-2.22044604925e-16,,,-2.22044604925e-16,-2.22044604925e-16,-2.22044604925e-16,0.0,0.185191797419,,,,,0.0,,,,,,,,,-2.22044604925e-16,,-2.22044604925e-16,,,,,,,0.0,,-2.22044604925e-16,,,,,,,,0.0,,0.185191797419,0.11395356229,,,0.0,-2.22044604925e-16,0.142507074288,,,,0.0,,0.142507074288,,0.0,-2.22044604925e-16,-2.22044604925e-16,,-2.22044604925e-16,,,,
,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,,,,0.328481766802,,,,,,,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0827880465353,0.0,,,,,0.0,0.0,,0.0,0.035764971293,,,,1.11002719557,,,2.0,0.0,0.0601167698695,,,,,,0.0,0.0,,,,0.0442610212647,0.0,,,0.0,,,,,,,,0.0,,,0.0
,,2.0,,2.0,,,,,,2.0,2.0,,,,2.0,,,,,,,,,2.0,,,,,,2.0,2.0,,2.0,2.0,,,,,2.0,,,2.0,2.0,,,,2.0,,2.0,,2.0,2.0,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,2.0
,,0.0,,0.0,,,,,,0.0,0.0,,,,0.0,,,,,,,,,0.0,,,,,,0.0,0.0,,0.0,0.0,,,,,0.0,,,0.0,0.0,,,,0.0,,0.0,2.0,,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,0.0
,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,,,,0.621895717955,,,,,,,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.00187600296463,0.0,,,,,0.0,0.0,,0.0,0.184244733252,,,,1.44283534307,,0.0601167698695,2.0,0.0,,,,,,,0.0,0.0,,,,0.00124340531239,0.0,,,0.0,,,,,,,,0.0,,,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2.0,,,,,,,,0.0,,,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,0.0,,0.0,,,,,,,,0.0,0.0,,,,0.0,0.0,,,,,,0.0,,0.0,0.0,0.0,,0.0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2.0,0.0,,,,,0.0,0.0,0.185191797419,,,0.185191797419,0.185191797419,0.185191797419,0.0,0.0,,,,,0.0,,,,,,,,,0.185191797419,,0.185191797419,,,,,,,0.0,,0.185191797419,,0.185191797419,,,,,,0.0,,,0.00928101068562,,,0.0,0.185191797419,0.00303878664208,,,,0.0,,0.00303878664208,,0.0,0.185191797419,0.185191797419,,0.185191797419,,,,
,,,,,,2.0,0.0,,,,,0.0,0.0,0.11395356229,,,0.11395356229,0.11395356229,0.11395356229,0.0,0.00928101068562,,,,,0.0,,,,,,,,,0.11395356229,,0.11395356229,,,,,,,0.0,,0.11395356229,,0.11395356229,,,,,,0.0,,0.00928101068562,,,,0.0,0.11395356229,0.00170301887731,,,,0.0,,0.00170301887731,,0.0,0.11395356229,0.11395356229,,0.11395356229,,,,
,0.0,,0.0,,,,,,0.0,,,,,,0.0,,,,,,,0.0,,,0.0,,,,0.0,,,0.0,0.0,,,,,,,0.0,,,0.0,,,,2.0,,0.0,,,0.0,,,,,,,0.0,,,,0.0,,,,0.0,,,,,,,,0.0,,,
,0.0,,0.0,,,,,,0.0,,,,,,0.0,,,,,,,0.0,,,0.0,,,,0.0,,,0.0,0.0,,,,,,,0.0,,,0.0,,,,2.0,,0.0,,,0.0,,,,,,0.0,,,,,0.0,,,,0.0,,,,,,,,0.0,,,
,,,,,,,0.0,,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,,,,,,,,0.0,,0.0,,,,,,,0.0,,0.0,,0.0,,,,,,,,0.0,0.0,,,,0.0,0.0,,,,0.0,,0.0,,,0.0,0.0,,0.0,,,,
,,,,,,2.0,0.0,,,,,0.0,0.0,-2.22044604925e-16,,,-2.22044604925e-16,-2.22044604925e-16,-2.22044604925e-16,0.0,0.185191797419,,,,,0.0,,,,,,,,,-2.22044604925e-16,,-2.22044604925e-16,,,,,,,0.0,,-2.22044604925e-16,,-2.22044604925e-16,,,,,,0.0,,0.185191797419,0.11395356229,,,0.0,,0.142507074288,,,,0.0,,0.142507074288,,0.0,-2.22044604925e-16,-2.22044604925e-16,,-2.22044604925e-16,,,,
,,,,,,2.0,0.0,,,,,0.0,0.0,0.142507074288,,,0.142507074288,0.142507074288,0.142507074288,0.0,0.00303878664208,,,,,0.0,,,,,,,,,0.142507074288,,0.142507074288,,,,,,,0.0,,0.142507074288,,0.142507074288,,,,,,0.0,,0.00303878664208,0.00170301887731,,,0.0,0.142507074288,,,,,0.0,,-2.22044604925e-16,,0.0,0.142507074288,0.142507074288,,0.142507074288,,,,
,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,,,,0.576214321082,,,,,,,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.00616928480997,0.0,,,,,0.0,0.0,,0.0,0.156424541945,,,,1.39758688507,,0.0442610212647,2.0,0.0,0.00124340531239,,,,,,0.0,0.0,,,,,0.0,,,0.0,,,,,,,,0.0,,,0.0
,,0.0,,0.0,,,,,,0.0,0.0,,,,0.0,,,,,,,,,0.0,,,,,,0.0,0.0,,0.0,0.0,,,,,0.0,,,0.0,0.0,,,,0.0,,0.0,2.0,0.0,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,0.0,,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,,,,,,,,0.0,,0.0,,,,,,,0.0,,0.0,,0.0,,,,,,,,0.0,0.0,,,0.0,0.0,0.0,,,,,,0.0,,,0.0,0.0,,0.0,,,,
,0.0,,0.0,,,,,,0.0,,,,,,0.0,,,,,,,0.0,,,0.0,,,,0.0,,,0.0,0.0,,,,,,,0.0,,,0.0,,,,2.0,,0.0,,,0.0,,,,,,0.0,0.0,,,,0.0,,,,,,,,,,,,0.0,,,
0.0,,,,,0.0,2.0,0.0,,,,,0.0,0.0,0.142507074288,,0.0,0.142507074288,0.142507074288,0.142507074288,0.0,0.00303878664208,,,,,0.0,0.0,,,,,,,,0.142507074288,,0.142507074288,,,,,,,0.0,,0.142507074288,,0.142507074288,,,,,,0.0,,0.00303878664208,0.00170301887731,,,0.0,0.142507074288,-2.22044604925e-16,,,,0.0,,,,0.0,0.142507074288,0.142507074288,,0.142507074288,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2.0,,,,,,,,0.0,,,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,0.0,,0.0,,,,,,0.0,,0.0,0.0,,,,0.0,0.0,,,,,,0.0,,,0.0,0.0,,0.0,,,,
,,,,,,2.0,0.0,,,,,0.0,0.0,-2.22044604925e-16,,,-2.22044604925e-16,-2.22044604925e-16,-2.22044604925e-16,0.0,0.185191797419,,,,,0.0,,,,,,,,,-2.22044604925e-16,,-2.22044604925e-16,,,,,,,0.0,,-2.22044604925e-16,,-2.22044604925e-16,,,,,,0.0,,0.185191797419,0.11395356229,,,0.0,-2.22044604925e-16,0.142507074288,,,,0.0,,0.142507074288,,0.0,,-2.22044604925e-16,,-2.22044604925e-16,,,,
,,,,,,2.0,0.0,,,,,0.0,0.0,-2.22044604925e-16,,,-2.22044604925e-16,-2.22044604925e-16,-2.22044604925e-16,0.0,0.185191797419,,,,,0.0,,,,,,,,,-2.22044604925e-16,,-2.22044604925e-16,,,,,,,0.0,,-2.22044604925e-16,,-2.22044604925e-16,,,,,,0.0,,0.185191797419,0.11395356229,,,0.0,-2.22044604925e-16,0.142507074288,,,,0.0,,0.142507074288,,0.0,-2.22044604925e-16,,,-2.22044604925e-16,,,,
