didn't really eat lunch,Vitamins,espresso,Caffeine,Had candy,Cannabis,Naproxen,Ambien CR,didn't eat breakfast,snack lunch,tumeric extract,fuck yeah avocado,Soluble Aspirin,ate breakfast,Slept a lot,gluten free,busy,Prednisone,smoothie,ramen,avocado,ice cream bar,Snooze,ate dairy,dairy,Netflix day,Turmeric,DEHA,Vitamin b complex,8 hours sleep,coffee,Aloe Detox Water,Mt. Si ACDC 2x Coco Caps,sitting,therapy session,creative writing,ate badly,Candy,Fluids,Methylcobalamine,siracha,slept 12 hours,Panamax,THC,Famotidine,playing music,Swimming,grilled cheese,Allegra,Flexeril,Slept most of the day,Goth clubbing,shopping,new environment,Fish oil,Chocolate after 6pm,Rest,12K Steps,cuddled kitten,Post-op ice device,ate meat,AOR Zinc-Copper Balance,masturbated,gardening,Dancing,Language Learning,church,bacon,Played Go fish,sex,tumblr,Aromatherapy,slept 7 hours,fast food,Had peach soda,knitting,took a bath ,ice cream,ASMR,Claritin,Went to a party,Strattera,Low oxalate,Medical Marijuana,Read comics,Zofran,Topamax,Hydroxyzine,Synthroid,12 hours sleep,meds,Dexedrine,>50 oz water,SPD alternative treatments,yogurt,ate popcorn,worked out,exercise,Veggies,Superlong nap,Slept well,Off work,Pet Therapy,Medical marijuana,eat two Luna bars,Buffered Salmon Oil - DHA - EPA,Quiet,Astelin,breathing exercises,antihistamines,listen to music ,Ropinirole,grapes,Tavegyl,Daytime nap,Sisu B Calm,Meditation,slept 11 hours,Vitamin C,Klonopin,Medication,CBD,mass transit,LUSH acne spot-treatment,studied,flaxseed and fybogel,Clonazepam,Vitamin b12,bed late,Vitamin d,Ice pack,Ate junk food,Canadian Bacon,massage,Hiked,no breakfast,hiking,physical therapy,little breakfast,8.5 hours sleep,Didn't shower,had sex,Acetyl Carnitine,Acupuncture,Extra Medications,N-Acelcysteine,trying to clean the house,9 hours sleep,Creatine,Biosil,Diphenhydramine,Infection,Therapy,Weather- rain,music,slept late,CoQ10,social gathering,Work,slept in,gluten,Trigger Points,ate eggs,gardened,crafting,skipped lunch,small breakfast,Deep rest,Rather bad sleep,Massage ,bunny cuddles,worked,Thyroid-Pro (CanPrev),rebounding,canned vegetable beef soup,Swept,Went to the store,Snacks,stool softener,banana,shower,donut,Allergy Shots,gluten free prezels,long sleep,Zinc,lifting things,Melatonin,Nortriptyline,ate dinner,TENS Unit,10.5 hours sleep,Triamcinolone,Alcohol,allergy shot,slept 8 hours!,Texted friend,marijuana,Sunlight,Nap,Light dinner,Cefaly Unit,prayer,birth control,breakfast,Magnesium glycinate,5-htp,Ventolin,Lithium,chinese takeout,lifted weights,B12 timed release,sugar,travel,no sleep,Tylenol 3,ate little,eye ointment,Daily walk,hot,Exercise--walking,no lunch,did some homework,party,Tetralabs Gold Caps,pizza,laundry,strapping of shoulder,Nasonex,eggs,Codeine,Coffee,exercised,Essential oils,heating pads,Norco,Adderall,goat cheese,popcorn,archery,Weeded garden,Singulair,grocery shopping,8.75 hours sleep,walked,cooked breakfast,Heating Pad,Arby's,nachos,Singing,row
,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,0.0,2.0,,,,,0.0,,,,,,2.0,,,,0.0,,,,0.0,,,0.0,2.0,,0.0,0.0,,,,,,,,,,,,2.0,,,,,2.0,,,,,,,0.0,,0.0,,,,,,,2.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,2.0,,,2.0,0.0,0.0,,,,,,,,0.0,,0.0,,,,,,,,,,2.0,,,,2.0,,,,2.0,,,,,,,,,0.0,2.0,,,2.0,,,,2.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,,0.0,,,,2.0,,,2.0,2.0,,,,,,,,0.0,,0.0,0.0,,,,,,,,,,,,,,,,0.0,,,,2.0,,0.0,,,,,,,,,,2.0,,,0.0,,0.0,,,,,,,tumeric extract
,,,,,,0.0,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,0.0,,,,,,,,,,,,2.0,,,0.0,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,0.0,,2.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,2.0,,,0.0,,,,,,,,,,,,0.0,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fuck yeah avocado
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,2.0,,,0.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Soluble Aspirin
0.0,,,,0.0,,,,0.0,,,,,,0.0,,,,0.0,,,,,,,,,,,,0.000117177880527,,2.0,,,,,,,,,,,,,,,,,2.0,0.0,,2.0,0.0,,,,,,,2.0,,0.0,,,,,,2.0,,,,,0.000118322191736,0.0,,0.0,,,,0.0,,,,2.0,,,,,,,,0.0,,,0.0,,,,0.0,0.0,,,,0.0,,2.0,,,,0.285364293379,,,,,,,,,,,,,,0.0,,,,,,,2.0,,0.0,0.0,0.0,,,,,0.0,0.0,,,,,,,,,0.0,,,,,0.0,,,0.0,0.00166776843473,,,,0.0,,2.0,,,0.0,,,,,,,2.0,2.0,,,0.0,,,,2.0,,,,,,0.0,,,,,0.0,,2.0,,,,2.0,2.0,,,0.0,,,,,,,,0.0,,,,,,,,,0.0,,0.0,2.0,,,,,,,,0.0,,,,,0.0,,,,,0.0,,0.00124943698466,0.0206016523099,,,,,ate breakfast
,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,2.0,,,,,,0.0,,,,,,0.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,2.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,2.0,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,0.0,,,,,,,2.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Slept a lot
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gluten free
,0.0,2.0,,,,2.0,,,,,2.0,,,,,,,,,,,,,,,2.0,,,,2.0,0.0,,,,2.0,,,0.0,,,2.0,,,,2.0,2.0,,,,,,,,,,,,0.0,,,2.0,,,2.0,2.0,0.0,,,2.0,,,,,,,,,2.0,,,,,0.0,,,,,,,,,,2.0,,,,,,,,,2.0,2.0,,2.0,2.0,,0.0,,,,,2.0,,0.0,0.0,,,,2.0,,,,,,,,,,,,,0.0,,,,2.0,,,,,,,0.0,,0.0,,,2.0,,,0.754379822676,0.0,,,,,,,,2.0,,,,,,2.0,,,,,2.0,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,2.0,,,,,,,,,2.0,,,0.0,,,,2.0,,1.92030317727,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,busy
,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,2.0,,,0.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prednisone
,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,smoothie
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,0.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ramen
,,,2.0,,,,,,0.0,,,,,,,,,,,,0.0,2.0,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,0.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,2.0,,2.0,avocado
,,,2.0,,,,,,0.0,,,,,,,,,,,0.0,,2.0,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,0.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,2.0,,2.0,ice cream bar
,,,0.0,,,,,,2.0,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,2.0,,2.0,,,,,,,,,,,,,,,,,2.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,2.0,,,2.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,2.0,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,0.0,,0.0,Snooze
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,ate dairy
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dairy
,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,2.0,0.0,,,,,2.0,,,,,,0.0,,,,2.0,,,,2.0,,,2.0,0.0,,2.0,2.0,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,2.0,,2.0,,,,,,,0.0,2.0,,,,,,,,,,,,,,,,,,2.0,,,,,,,0.0,,,0.0,2.0,2.0,,,,,,,,2.0,,2.0,,,,,,,,,,0.0,,,,0.0,,,,0.0,,,,,,,,,2.0,0.0,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,2.0,,,2.0,,2.0,,,,0.0,,,0.0,0.0,,,,,,,,2.0,,2.0,2.0,,,,,,,,,,,,,,,,2.0,,,,0.0,,2.0,,,,,,,,,,0.0,,,2.0,,2.0,,,,,,,Netflix day
,2.0,0.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,0.0,2.0,,,,,,,2.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,,,,,,,,,,,,0.0,,,,,2.0,,,,,,,,,,0.0,,,,,,,,,0.0,0.0,,,,,2.0,,,,,,,,2.0,,,,0.0,,,,,,,,,,,,,2.0,,,,,,,,,,,2.0,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,0.0,,2.0,,,,,,,,,,,2.0,,2.0,,,,,,,,,,,,,,,,,Turmeric
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DEHA
,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,2.0,,,,1.9518802495,,,,,0.0,,,,,,2.0,,,0.0,-2.22044604925e-16,,,,9.16487681046e-06,,,0.0,2.0,,0.000620877414457,0.0,0.0,,2.0,0.0,,,,,,,,2.0,,,,,2.0,,,,,,,-2.22044604925e-16,,9.16487681046e-06,,,,0.0,,0.0,2.0,0.0,0.0,,,,,,,,,,,,,,,,,-2.22044604925e-16,,,,,,,2.0,,,1.98955567719,-2.22044604925e-16,0.0230122061351,,0.0,2.0,,,2.0,,0.000620877414457,2.0,-2.22044604925e-16,0.0,,,,,,,0.0,,2.0,,,,2.0,,,,1.97966219944,,,,,,,,,0.0,2.0,,,2.0,,,,2.0,,2.0,,,,,,,,,,,,0.0,,,,0.0,,,-2.22044604925e-16,,-2.22044604925e-16,,,,2.0,,0.0,2.0,2.0,,,0.0,,,,,0.0,,-2.22044604925e-16,-2.22044604925e-16,,,,,,,,,,,0.0,,,,,1.81554209924,,,,2.0,0.0,-2.22044604925e-16,,,,,,0.0,0.0,,,2.0,,,-2.22044604925e-16,,0.0,,,,,,,Vitamin b complex
,,,,,,,2.0,,,2.0,,,,,,,,,,,,,,,0.0,,,1.9518802495,,,,,,2.0,,,,,,0.0,,,2.0,1.9518802495,,,,1.95318362156,,,2.0,0.0,,1.96208713549,2.0,2.0,,0.0,2.0,,,,,,,,0.0,,,,,0.0,,,,,,,1.9518802495,,1.95318362156,,,,2.0,,2.0,0.0,2.0,2.0,,,,,,,,,,,,,,,,,1.9518802495,,,,,,,0.0,,,0.102239536717,1.9518802495,1.99534401603,,2.0,0.0,,,0.0,,1.96208713549,0.0,1.9518802495,2.0,,,,,,,2.0,,0.0,,,,0.0,,,,0.128973334747,,,,,,,,,2.0,0.0,,,0.0,,,,0.0,,0.0,,,,,,,,,,,,2.0,,,,2.0,,,1.9518802495,,1.9518802495,,,,0.0,,2.0,0.0,0.0,,,2.0,,,,,2.0,,1.9518802495,1.9518802495,,,,,,,,,,,2.0,,,,,0.046347961585,,,,0.0,2.0,1.9518802495,,,,,,2.0,2.0,,,0.0,,,1.9518802495,,2.0,,,,,,,8 hours sleep
0.0,2.0,0.0,,,,,,0.0,,,,,0.000117177880527,,,2.0,,,,,,,,,,0.0,,,,,2.0,2.0,,,,,,2.0,,,0.0,,,,,,,,2.0,0.0,,2.0,,,,,,,,,,0.0,,,0.0,2.0,,,,,,,0.0,,,,,0.0,,,,,2.0,,,,,,,,,,0.0,,0.0,,,,,,,0.0,0.0,0.0,,,,2.0,,,,,,,,2.0,,,,0.0,,,,,,,,,,,,,1.03691943196,0.0,0.0,,,,,,,,,2.0,,,,,,,,2.0,2.0,,0.0,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,0.0,,,,,,,,,,,2.0,,,,,,,,,,,0.0,,2.0,,,,0.0,,2.0,0.0,,0.0,2.0,,,,,,,2.0,0.0,2.0,,,,0.0,,,,,0.0,,0.0,0.0,,,,,coffee
,0.0,2.0,,,,,,,,,,,,,,0.0,,,,,,,,,,2.0,,,,2.0,,,,,,,,0.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,,,,,,,,,,,,2.0,,,,,0.0,,,,,,,,,,2.0,,,,,,,,,2.0,2.0,,,,,0.0,,,,,,,,0.0,,,,2.0,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,2.0,,0.0,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,Aloe Detox Water
